time,signal
0.0316111,1.45893e-06
0.0316389,2.13889e-06
0.0316667,3.11647e-06
0.0316944,4.51292e-06
0.0317222,6.4949e-06
0.03175,9.28983e-06
0.0317778,1.32057e-05
0.0318056,1.86568e-05
0.0318333,2.61959e-05
0.0318611,3.65552e-05
0.0318889,5.06973e-05
0.0319167,6.9878e-05
0.0319444,9.57231e-05
0.0319722,0.000130321
0.032,0.000176331
0.0320278,0.000237119
0.0320556,0.0003169
0.0320833,0.000420919
0.0321111,0.000555643
0.0321389,0.000728975
0.0321667,0.000950495
0.0321944,0.00123171
0.0322222,0.0015863
0.03225,0.0020304
0.0322778,0.00258285
0.0323056,0.0032654
0.0323333,0.00410294
0.0323611,0.00512357
0.0323889,0.00635873
0.0324167,0.00784311
0.0324444,0.0096145
0.0324722,0.0117134
0.0325,0.0141828
0.0325278,0.0170672
0.0325556,0.0204117
0.0325833,0.0242615
0.0326111,0.02866
0.0326389,0.0336477
0.0326667,0.0392604
0.0326944,0.0455274
0.0327222,0.0524701
0.03275,0.0600995
0.0327778,0.0684147
0.0328056,0.0774014
0.0328333,0.0870298
0.0328611,0.0972539
0.0328889,0.108011
0.0329167,0.119219
0.0329444,0.130781
0.0329722,0.142582
0.033,0.154491
0.0330278,0.166365
0.0330556,0.17805
0.0330833,0.189383
0.0331111,0.200199
0.0331389,0.21033
0.0331667,0.219614
0.0331944,0.227898
0.0332222,0.235039
0.03325,0.240913
0.0332778,0.245414
0.0333056,0.248462
0.0333333,0.25
0.0333611,0.25
0.0333889,0.248462
0.0334167,0.245414
0.0334444,0.240913
0.0334722,0.235039
0.0335,0.227898
0.0335278,0.219614
0.0335556,0.21033
0.0335833,0.200199
0.0336111,0.189383
0.0336389,0.17805
0.0336667,0.166365
0.0336944,0.154491
0.0337222,0.142582
0.03375,0.130781
0.0337778,0.119219
0.0338056,0.108011
0.0338333,0.0972539
0.0338611,0.0870298
0.0338889,0.0774014
0.0339167,0.0684147
0.0339444,0.0600995
0.0339722,0.0524701
0.034,0.0455274
0.0340278,0.0392604
0.0340556,0.0336477
0.0340833,0.02866
0.0341111,0.0242615
0.0341389,0.0204117
0.0341667,0.0170672
0.0341944,0.0141828
0.0342222,0.0117134
0.03425,0.0096145
0.0342778,0.00784311
0.0343056,0.00635873
0.0343333,0.00512357
0.0343611,0.00410294
0.0343889,0.0032654
0.0344167,0.00258285
0.0344444,0.0020304
0.0344722,0.0015863
0.0345,0.00123171
0.0345278,0.000950495
0.0345556,0.000728975
0.0345833,0.000555643
0.0346111,0.000420919
0.0346389,0.0003169
0.0346667,0.000237119
0.0346944,0.000176331
0.0347222,0.000130321
0.03475,9.57231e-05
0.0347778,6.9878e-05
0.0348056,5.06973e-05
0.0348333,3.65552e-05
0.0348611,2.61959e-05
0.0348889,1.86568e-05
0.0349167,1.32057e-05
0.0349444,9.28983e-06
0.0349722,6.4949e-06
0.035,4.51292e-06
0.0350278,3.11647e-06
0.0350556,2.13889e-06
0.0350833,1.45893e-06
0.0351111,9.8901e-07
0.0351389,6.66326e-07
0.0351667,4.46163e-07
0.0351944,2.96907e-07
0.0352222,1.96366e-07
0.03525,1.29072e-07
0.0352778,8.43181e-08
0.0353056,5.4743e-08
0.0353333,3.53229e-08
0.0353611,2.26519e-08
0.0353889,1.44368e-08
0.0354167,9.14452e-09
0.0354444,5.75665e-09
0.0354722,3.60162e-09
0.0355,2.23948e-09
0.0355278,1.38394e-09
0.0355556,8.49978e-10
0.0355833,5.1882e-10
0.0356111,3.14738e-10
0.0356389,1.89757e-10
0.0356667,1.13703e-10
0.0356944,6.77109e-11
0.0357222,4.0076e-11
0.03575,2.35722e-11
0.0357778,1.37814e-11
0.0358056,8.00598e-12
0.0358333,4.62416e-12
0.0358611,2.65271e-12
0.0358889,1.51426e-12
0.0359167,8.57397e-13
0.0359444,4.84307e-13
0.0359722,2.70256e-13
0.036,1.51684e-13
0.0360278,8.30447e-14
0.0360556,4.69347e-14
0.0360833,2.48135e-14
0.0361111,1.47382e-14
0.0361389,7.10543e-15
0.0361667,5.07927e-15
0.0361944,1.88738e-15
0.0362222,2.13718e-15
0.03625,3.88578e-16
0.0362778,1.33227e-15
0.0363056,-8.32667e-17
0.0363333,1.13798e-15
0.0363611,-1.94289e-16
0.0363889,1.02696e-15
0.0364167,-1.94289e-16
0.0364444,1.05471e-15
0.0364722,-2.22045e-16
0.0365,9.71445e-16
0.0365278,-2.498e-16
0.0365556,9.71445e-16
0.0365833,-2.77556e-16
0.0366111,9.71445e-16
0.0366389,-2.77556e-16
0.0366667,9.71445e-16
0.0366944,-2.22045e-16
0.0367222,1.02696e-15
0.03675,-2.22045e-16
0.0367778,1.08247e-15
0.0368056,-2.498e-16
0.0368333,1.02696e-15
0.0368611,-2.77556e-16
0.0368889,1.11022e-15
0.0369167,-3.05311e-16
0.0369444,1.11022e-15
0.0369722,-3.60822e-16
0.037,1.08247e-15
0.0370278,-3.60822e-16
0.0370556,1.05471e-15
0.0370833,-3.60822e-16
0.0371111,1.05471e-15
0.0371389,-3.88578e-16
0.0371667,1.05471e-15
0.0371944,-4.16334e-16
0.0372222,1.05471e-15
0.03725,-3.60822e-16
0.0372778,1.05471e-15
0.0373056,-3.60822e-16
0.0373333,1.05471e-15
0.0373611,-3.60822e-16
0.0373889,1.05471e-15
